sa2_type,day,hour,timestamp,day_num,week,pop
Residential,Sat,161,2020-04-18T17:00:00Z,6,pop_2019,1685654.5
Residential,Sat,162,2020-04-18T18:00:00Z,6,pop_2019,1706403.5
Residential,Sat,163,2020-04-18T19:00:00Z,6,pop_2019,1719088
Residential,Sat,164,2020-04-18T20:00:00Z,6,pop_2019,1731474.75
Residential,Sat,165,2020-04-18T21:00:00Z,6,pop_2019,1745095.25
Residential,Sat,166,2020-04-18T22:00:00Z,6,pop_2019,1759315.25
Residential,Sat,167,2020-04-18T23:00:00Z,6,pop_2019,1770394
Residential,Sun,168,2020-04-19T00:00:00Z,7,pop_2019,1806736
Residential,Sun,169,2020-04-19T01:00:00Z,7,pop_2019,1809184
Residential,Sun,170,2020-04-19T02:00:00Z,7,pop_2019,1812783
Residential,Sun,171,2020-04-19T03:00:00Z,7,pop_2019,1816771.5
Residential,Sun,172,2020-04-19T04:00:00Z,7,pop_2019,1820364
Residential,Sun,173,2020-04-19T05:00:00Z,7,pop_2019,1821800.5
Residential,Sun,174,2020-04-19T06:00:00Z,7,pop_2019,1819826
Residential,Sun,175,2020-04-19T07:00:00Z,7,pop_2019,1814965.75
Residential,Sun,176,2020-04-19T08:00:00Z,7,pop_2019,1804515
Residential,Sun,177,2020-04-19T09:00:00Z,7,pop_2019,1783185.75
Residential,Sun,178,2020-04-19T10:00:00Z,7,pop_2019,1746305
Residential,Sun,179,2020-04-19T11:00:00Z,7,pop_2019,1714049
Residential,Sun,180,2020-04-19T12:00:00Z,7,pop_2019,1695899.25
Residential,Sun,181,2020-04-19T13:00:00Z,7,pop_2019,1692217.75
Residential,Sun,182,2020-04-19T14:00:00Z,7,pop_2019,1694867
Residential,Sun,183,2020-04-19T15:00:00Z,7,pop_2019,1705346.75
Residential,Sun,184,2020-04-19T16:00:00Z,7,pop_2019,1722408.75
Residential,Sun,185,2020-04-19T17:00:00Z,7,pop_2019,1744536.5
Residential,Sun,186,2020-04-19T18:00:00Z,7,pop_2019,1765070.25
Residential,Sun,187,2020-04-19T19:00:00Z,7,pop_2019,1781009.25
Residential,Sun,188,2020-04-19T20:00:00Z,7,pop_2019,1797683.5
Residential,Sun,189,2020-04-19T21:00:00Z,7,pop_2019,1812378
Residential,Sun,190,2020-04-19T22:00:00Z,7,pop_2019,1824783.75
Residential,Sun,191,2020-04-19T23:00:00Z,7,pop_2019,1834653.25
Retail,Mon,24,2020-04-13T00:00:00Z,1,pop_2019,29759
Retail,Mon,25,2020-04-13T01:00:00Z,1,pop_2019,29691.5
Retail,Mon,26,2020-04-13T02:00:00Z,1,pop_2019,29667.5
Retail,Mon,27,2020-04-13T03:00:00Z,1,pop_2019,29693.5
Retail,Mon,28,2020-04-13T04:00:00Z,1,pop_2019,29682.75
Retail,Mon,29,2020-04-13T05:00:00Z,1,pop_2019,29837
Retail,Mon,30,2020-04-13T06:00:00Z,1,pop_2019,30405.25
Retail,Mon,31,2020-04-13T07:00:00Z,1,pop_2019,31579.5
Retail,Mon,32,2020-04-13T08:00:00Z,1,pop_2019,34560
Retail,Mon,33,2020-04-13T09:00:00Z,1,pop_2019,39314
Retail,Mon,34,2020-04-13T10:00:00Z,1,pop_2019,44027.5
Retail,Mon,35,2020-04-13T11:00:00Z,1,pop_2019,48516.5
Retail,Mon,36,2020-04-13T12:00:00Z,1,pop_2019,51820.75
Retail,Mon,37,2020-04-13T13:00:00Z,1,pop_2019,53435.5
Retail,Mon,38,2020-04-13T14:00:00Z,1,pop_2019,53459.75
Retail,Mon,39,2020-04-13T15:00:00Z,1,pop_2019,52312
Retail,Mon,40,2020-04-13T16:00:00Z,1,pop_2019,50291.5
Retail,Mon,41,2020-04-13T17:00:00Z,1,pop_2019,46864.25
Retail,Mon,42,2020-04-13T18:00:00Z,1,pop_2019,42934.75
Retail,Mon,43,2020-04-13T19:00:00Z,1,pop_2019,39842
Retail,Mon,44,2020-04-13T20:00:00Z,1,pop_2019,37601.75
Retail,Mon,45,2020-04-13T21:00:00Z,1,pop_2019,35549.25
Retail,Mon,46,2020-04-13T22:00:00Z,1,pop_2019,34076.25
Retail,Mon,47,2020-04-13T23:00:00Z,1,pop_2019,33053
Retail,Tue,48,2020-04-14T00:00:00Z,2,pop_2019,30851
