days,regc2018_name,mobility
2020-04-10,Otago Region,-67.04
2020-04-10,Southland Region,-70.1
2020-04-10,Taranaki Region,-72.04
2020-04-10,Tasman Region,-61.95
2020-04-10,Waikato Region,-68.83
2020-04-10,Wellington Region,-76.84
2020-04-10,West Coast Region,-59.17
2020-04-11,Auckland Region,-51.97
2020-04-11,Bay of Plenty Region,-51.33
2020-04-11,Canterbury Region,-52.23
2020-04-11,Gisborne Region,-42.81
2020-04-11,Hawke's Bay Region,-43.97
2020-04-11,Manawatu-Wanganui Region,-42.9
2020-04-11,Marlborough Region,-43.64
2020-04-11,Nelson Region,-53.74
2020-04-11,Northland Region,-31.19
2020-04-11,Otago Region,-56.82
2020-04-11,Southland Region,-54.15
2020-04-11,Taranaki Region,-54.54
2020-04-11,Tasman Region,-45.69
2020-04-11,Waikato Region,-50.5
2020-04-11,Wellington Region,-53.53
2020-04-11,West Coast Region,-51.39
2020-04-12,Auckland Region,-51.75
2020-04-12,Bay of Plenty Region,-51.76
2020-04-12,Canterbury Region,-51.9
2020-04-12,Gisborne Region,-29.82
2020-04-12,Hawke's Bay Region,-50.4
2020-04-12,Manawatu-Wanganui Region,-42.79
2020-04-12,Marlborough Region,-41.37
2020-04-12,Nelson Region,-48.52
2020-04-12,Northland Region,-29.23
2020-04-12,Otago Region,-55.69
2020-04-12,Southland Region,-55.08
2020-04-12,Taranaki Region,-47.81
2020-04-12,Tasman Region,-47.79
2020-04-12,Waikato Region,-53.75
2020-04-12,Wellington Region,-51.78
2020-04-12,West Coast Region,-54.64
2020-04-13,Auckland Region,-73.17
2020-04-13,Bay of Plenty Region,-69.24
2020-04-13,Canterbury Region,-70.78
2020-04-13,Gisborne Region,-53.97
2020-04-13,Hawke's Bay Region,-65.93
2020-04-13,Manawatu-Wanganui Region,-61.6
2020-04-13,Marlborough Region,-54.13
2020-04-13,Nelson Region,-69.82
2020-04-13,Northland Region,-52.51
2020-04-13,Otago Region,-67.23
2020-04-13,Southland Region,-71.26
2020-04-13,Taranaki Region,-67.96
2020-04-13,Tasman Region,-60.25
2020-04-13,Waikato Region,-67.5
2020-04-13,Wellington Region,-76.86
2020-04-13,West Coast Region,-59.08
2020-04-14,Auckland Region,-65.16
2020-04-14,Bay of Plenty Region,-59.39
2020-04-14,Canterbury Region,-61.13
2020-04-14,Gisborne Region,-43.01
2020-04-14,Hawke's Bay Region,-54.05
2020-04-14,Manawatu-Wanganui Region,-53.31
2020-04-14,Marlborough Region,-41.45
2020-04-14,Nelson Region,-59.58
2020-04-14,Northland Region,-42.23
2020-04-14,Otago Region,-60.51
2020-04-14,Southland Region,-67.04
2020-04-14,Taranaki Region,-61.05
