timestamp,segment,pop,days
2020-05-23T12:00:00Z,local,4611360,2020-05-23
2020-05-23T12:00:00Z,unknown,225,2020-05-23
2020-05-24T12:00:00Z,domestic,309957,2020-05-24
2020-05-24T12:00:00Z,international,131052,2020-05-24
2020-05-24T12:00:00Z,local,4651812,2020-05-24
2020-05-24T12:00:00Z,unknown,156,2020-05-24
2020-05-25T12:00:00Z,domestic,249738,2020-05-25
2020-05-25T12:00:00Z,international,131163,2020-05-25
2020-05-25T12:00:00Z,local,4711716,2020-05-25
2020-05-25T12:00:00Z,unknown,459,2020-05-25
2020-05-26T12:00:00Z,domestic,250941,2020-05-26
2020-05-26T12:00:00Z,international,131967,2020-05-26
2020-05-26T12:00:00Z,local,4709628,2020-05-26
2020-05-26T12:00:00Z,unknown,444,2020-05-26
2020-05-27T12:00:00Z,domestic,256359,2020-05-27
2020-05-27T12:00:00Z,international,131391,2020-05-27
2020-05-27T12:00:00Z,local,4704522,2020-05-27
2020-05-27T12:00:00Z,unknown,435,2020-05-27
2020-05-28T12:00:00Z,domestic,262581,2020-05-28
2020-05-28T12:00:00Z,international,130935,2020-05-28
2020-05-28T12:00:00Z,local,4698504,2020-05-28
2020-05-28T12:00:00Z,unknown,426,2020-05-28
2020-05-29T12:00:00Z,domestic,305358,2020-05-29
2020-05-29T12:00:00Z,international,130725,2020-05-29
2020-05-29T12:00:00Z,local,4655925,2020-05-29
2020-05-29T12:00:00Z,unknown,348,2020-05-29
2020-05-30T12:00:00Z,domestic,484455,2020-05-30
2020-05-30T12:00:00Z,international,130623,2020-05-30
2020-05-30T12:00:00Z,local,4476891,2020-05-30
2020-05-30T12:00:00Z,unknown,219,2020-05-30
2020-05-31T12:00:00Z,domestic,523446,2020-05-31
2020-05-31T12:00:00Z,international,130398,2020-05-31
2020-05-31T12:00:00Z,local,4438674,2020-05-31
2020-05-31T12:00:00Z,unknown,174,2020-05-31
2020-06-01T12:00:00Z,domestic,413091,2020-06-01
2020-06-01T12:00:00Z,international,130203,2020-06-01
2020-06-01T12:00:00Z,local,4548633,2020-06-01
2020-06-01T12:00:00Z,unknown,228,2020-06-01
2020-06-02T12:00:00Z,domestic,274560,2020-06-02
2020-06-02T12:00:00Z,international,129927,2020-06-02
2020-06-02T12:00:00Z,local,4686579,2020-06-02
2020-06-02T12:00:00Z,unknown,429,2020-06-02
2020-06-03T12:00:00Z,domestic,268833,2020-06-03
2020-06-03T12:00:00Z,international,130401,2020-06-03
2020-06-03T12:00:00Z,local,4692687,2020-06-03
2020-06-03T12:00:00Z,unknown,441,2020-06-03
2020-06-04T12:00:00Z,domestic,265980,2020-06-04
2020-06-04T12:00:00Z,international,129933,2020-06-04
2020-06-04T12:00:00Z,local,4695183,2020-06-04
2020-06-04T12:00:00Z,unknown,462,2020-06-04
2020-06-05T12:00:00Z,domestic,275799,2020-06-05
2020-06-05T12:00:00Z,international,129609,2020-06-05
2020-06-05T12:00:00Z,local,4685655,2020-06-05
2020-06-05T12:00:00Z,unknown,444,2020-06-05
2020-06-06T12:00:00Z,domestic,329451,2020-06-06
2020-06-06T12:00:00Z,international,129762,2020-06-06
2020-06-06T12:00:00Z,local,4632222,2020-06-06
2020-06-06T12:00:00Z,unknown,216,2020-06-06
2020-06-07T12:00:00Z,domestic,311988,2020-06-07
2020-06-07T12:00:00Z,international,129441,2020-06-07
2020-06-07T12:00:00Z,local,4650543,2020-06-07
2020-06-07T12:00:00Z,unknown,189,2020-06-07
